ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
335342,NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT,,NY,Westchester,WESTCHESTER,10547,120,112.1,4,41.3214,-73.86
335344,CHASEHEALTH REHAB AND RESIDENTIAL CARE,,NY,Chenango,CHENANGO,13411,80,72.4,3,42.6246,-75.33
335345,M.M. Ewing Continuing Care Center,,NY,Ontario,ONTARIO,14424,178,174.7,5,42.8748,-77.29
335346,ELDERWOOD AT WAVERLY,,NY,Tioga,TIOGA,14892,200,183.3,1,42.0112,-76.528
335347,MORRIS PARK REHABILITATION AND NURSING CENTER,,NY,Bronx,BRONX,10469,191,175.4,1,40.8585,-73.852
335349,CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,,NY,Queens,QUEENS,11354,218,198.1,4,40.7702,-73.826
335350,SUTTON PARK CENTER FOR NURSING AND REHABILITATION,,NY,Westchester,WESTCHESTER,10801,160,152.3,3,40.9143,-73.786
335351,NATHAN LITTAUER HOSPITAL NURSING HOME,,NY,Fulton,FULTON,12078,84,62.8,1,43.068,-74.331
335353,HERITAGE VILLAGE REHAB AND SKILLED NURSING INC.,,NY,Chautauqua,CHAUTAUQUA,14740,120,36.3,1,42.2482,-79.266
335357,THE PINES HEALTHCARE & REHAB CENTERS OLEAN CAMPUS,,NY,Cattaraugus,CATTARAUGUS,14760,120,106.4,4,42.0772,-78.457
335358,BRONX PARK REHABILITATION & NURSING CENTER,,NY,Bronx,BRONX,10467,240,225.3,4,40.8859,-73.865
335361,Clifton Springs Hospital and Clinic Extended Care,,NY,Ontario,ONTARIO,14432,108,106.9,4,42.9594,-77.139
335363,OZANAM HALL OF QUEENS NURSING HOME INC,,NY,Queens,QUEENS,11361,305,305.0,3,40.7648,-73.778
335364,CUBA MEMORIAL HOSPITAL INC SNF,,NY,Allegany,ALLEGANY,14727,61,49.7,3,42.2136,-78.287
