county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
01039,AL,Covington County,COVINGTON,2021,37512,6753,0.180022
01039,AL,Covington County,COVINGTON,2022,37508,6752,0.180015
01039,AL,Covington County,COVINGTON,2023,37861,6815,0.180001
01039,AL,Covington County,COVINGTON,2024,37748,6795,0.18001
01041,AL,Crenshaw County,CRENSHAW,2020,13171,2371,0.180017
01041,AL,Crenshaw County,CRENSHAW,2021,13062,2352,0.180064
01041,AL,Crenshaw County,CRENSHAW,2022,13096,2358,0.180055
01041,AL,Crenshaw County,CRENSHAW,2023,13168,2371,0.180058
01041,AL,Crenshaw County,CRENSHAW,2024,13114,2361,0.180037
01043,AL,Cullman County,CULLMAN,2020,88142,15866,0.180005
01043,AL,Cullman County,CULLMAN,2021,89578,16124,0.18
01043,AL,Cullman County,CULLMAN,2022,90597,16308,0.180006
01043,AL,Cullman County,CULLMAN,2023,91909,16544,0.180004
01043,AL,Cullman County,CULLMAN,2024,92604,16669,0.180003
01045,AL,Dale County,DALE,2020,49260,8867,0.180004
01045,AL,Dale County,DALE,2021,49344,8882,0.180002
01045,AL,Dale County,DALE,2022,49472,8905,0.180001
01045,AL,Dale County,DALE,2023,49852,8973,0.179993
01045,AL,Dale County,DALE,2024,50067,9012,0.179999
01047,AL,Dallas County,DALLAS,2020,38185,6873,0.179992
01047,AL,Dallas County,DALLAS,2021,37496,6749,0.179993
01047,AL,Dallas County,DALLAS,2022,36772,6619,0.180001
01047,AL,Dallas County,DALLAS,2023,36294,6533,0.180002
01047,AL,Dallas County,DALLAS,2024,35545,6398,0.179997
01049,AL,DeKalb County,DEKALB,2020,71673,12901,0.179998
01049,AL,DeKalb County,DEKALB,2021,71880,12938,0.179994
01049,AL,DeKalb County,DEKALB,2022,72046,12968,0.179996
01049,AL,DeKalb County,DEKALB,2023,72626,13073,0.180004
01049,AL,DeKalb County,DEKALB,2024,73122,13162,0.180001
01051,AL,Elmore County,ELMORE,2020,87871,15817,0.180003
01051,AL,Elmore County,ELMORE,2021,88734,15973,0.18001
01051,AL,Elmore County,ELMORE,2022,89566,16122,0.180001
01051,AL,Elmore County,ELMORE,2023,90416,16275,0.180001
01051,AL,Elmore County,ELMORE,2024,91042,16388,0.180005
01053,AL,Escambia County,ESCAMBIA,2020,36687,6603,0.179982
01053,AL,Escambia County,ESCAMBIA,2021,36628,6593,0.179999
01053,AL,Escambia County,ESCAMBIA,2022,36620,6591,0.179984
01053,AL,Escambia County,ESCAMBIA,2023,36582,6584,0.179979
01053,AL,Escambia County,ESCAMBIA,2024,36630,6593,0.179989
01055,AL,Etowah County,ETOWAH,2020,103437,18618,0.179994
01055,AL,Etowah County,ETOWAH,2021,102887,18519,0.179994
01055,AL,Etowah County,ETOWAH,2022,102821,18508,0.180002
01055,AL,Etowah County,ETOWAH,2023,103174,18571,0.179997
01055,AL,Etowah County,ETOWAH,2024,103207,18577,0.179997
01057,AL,Fayette County,FAYETTE,2020,16329,2939,0.179987
01057,AL,Fayette County,FAYETTE,2021,16119,2901,0.179974
01057,AL,Fayette County,FAYETTE,2022,16041,2887,0.179976
01057,AL,Fayette County,FAYETTE,2023,15913,2864,0.179979
01057,AL,Fayette County,FAYETTE,2024,15863,2855,0.179979
01059,AL,Franklin County,FRANKLIN,2020,32076,5773,0.179979
01059,AL,Franklin County,FRANKLIN,2021,31991,5758,0.179988
01059,AL,Franklin County,FRANKLIN,2022,31947,5750,0.179986
01059,AL,Franklin County,FRANKLIN,2023,31941,5749,0.179988
01059,AL,Franklin County,FRANKLIN,2024,31874,5737,0.17999
01061,AL,Geneva County,GENEVA,2020,26703,4807,0.180017
01061,AL,Geneva County,GENEVA,2021,26632,4794,0.180009
01061,AL,Geneva County,GENEVA,2022,26787,4822,0.180013
01061,AL,Geneva County,GENEVA,2023,27052,4870,0.180024
01061,AL,Geneva County,GENEVA,2024,27259,4907,0.180014
01063,AL,Greene County,GREENE,2020,7701,1386,0.179977
01063,AL,Greene County,GREENE,2021,7583,1365,0.180008
01063,AL,Greene County,GREENE,2022,7412,1334,0.179978
01063,AL,Greene County,GREENE,2023,7299,1314,0.180025
01063,AL,Greene County,GREENE,2024,7127,1283,0.18002
01065,AL,Hale County,HALE,2020,14771,2659,0.180015
01065,AL,Hale County,HALE,2021,14715,2649,0.18002
01065,AL,Hale County,HALE,2022,14613,2630,0.179977
01065,AL,Hale County,HALE,2023,14931,2688,0.180028
01065,AL,Hale County,HALE,2024,15116,2721,0.180008
01067,AL,Henry County,HENRY,2020,17171,3090,0.179955
01067,AL,Henry County,HENRY,2021,17412,3134,0.179991
01067,AL,Henry County,HENRY,2022,17638,3174,0.179952
01067,AL,Henry County,HENRY,2023,17872,3217,0.180002
01067,AL,Henry County,HENRY,2024,18141,3265,0.179979
01069,AL,Houston County,HOUSTON,2020,107300,19314,0.18
01069,AL,Houston County,HOUSTON,2021,107412,19334,0.179999
01069,AL,Houston County,HOUSTON,2022,108063,19451,0.179997
01069,AL,Houston County,HOUSTON,2023,108556,19540,0.179999
01069,AL,Houston County,HOUSTON,2024,109366,19686,0.180001
01071,AL,Jackson County,JACKSON,2020,52532,9455,0.179986
01071,AL,Jackson County,JACKSON,2021,52688,9483,0.179984
01071,AL,Jackson County,JACKSON,2022,52842,9511,0.179989
01071,AL,Jackson County,JACKSON,2023,53423,9616,0.179997
01071,AL,Jackson County,JACKSON,2024,53780,9680,0.179993
01073,AL,Jefferson County,JEFFERSON,2020,674727,121451,0.18
01073,AL,Jefferson County,JEFFERSON,2021,669677,120542,0.18
01073,AL,Jefferson County,JEFFERSON,2022,665543,119798,0.18
01073,AL,Jefferson County,JEFFERSON,2023,664084,119535,0.18
01073,AL,Jefferson County,JEFFERSON,2024,664744,119654,0.18
01075,AL,Lamar County,LAMAR,2020,13954,2512,0.18002
01075,AL,Lamar County,LAMAR,2021,13725,2471,0.180036
01075,AL,Lamar County,LAMAR,2022,13628,2453,0.179997
01075,AL,Lamar County,LAMAR,2023,13616,2451,0.180009
01075,AL,Lamar County,LAMAR,2024,13543,2438,0.180019
01077,AL,Lauderdale County,LAUDERDALE,2020,94031,16925,0.179994
01077,AL,Lauderdale County,LAUDERDALE,2021,94846,17072,0.179997
01077,AL,Lauderdale County,LAUDERDALE,2022,95903,17262,0.179994
01077,AL,Lauderdale County,LAUDERDALE,2023,96867,17436,0.179999
01077,AL,Lauderdale County,LAUDERDALE,2024,97502,17550,0.179996
01079,AL,Lawrence County,LAWRENCE,2020,33075,5953,0.179985
01079,AL,Lawrence County,LAWRENCE,2021,33052,5949,0.179989
01079,AL,Lawrence County,LAWRENCE,2022,33182,5973,0.180007
01079,AL,Lawrence County,LAWRENCE,2023,33505,6031,0.180003
01079,AL,Lawrence County,LAWRENCE,2024,33567,6042,0.179998
01081,AL,Lee County,LEE,2020,174856,31474,0.18
01081,AL,Lee County,LEE,2021,177652,31977,0.179998
